,Export,Import,Year,Export_Value,Export_Value_(t-1),GDP_i(t-1),GDP_j(t-1),GDPPC_i(t-1),GDPPC_j(t-1),D_ij,FTA_1,FTA_2
0,Turkey,China,2000,91336.496,36637.176,256385525071.633,1093997267277.1,4116.1705596504,873.287061730612,6083.43,0,1
1,Turkey,France,2000,1651591.721,1573188.736,256385525071.633,1492647560196.04,4116.1705596504,24673.2030476111,2803.41,0,1
2,Turkey,Germany,2000,5171172.501,5474533.888,256385525071.633,2194204133816.32,4116.1705596504,26725.9152182573,2332.79,0,1
3,Turkey,Iceland,2000,4941.386,2333.333,256385525071.633,8982047589.4895,4116.1705596504,32381.6252356488,4433.0,1,0
4,Turkey,Italy,2000,1755168.844,1682516.992,256385525071.633,1252023758789.69,4116.1705596504,21997.6243155313,1911.13,0,1
5,Turkey,Netherlands,2000,871490.577,932267.072,256385525071.633,446898572341.786,4116.1705596504,28263.0967106802,2690.54,0,1
6,Turkey,Norway,2000,80229.968,90927.176,256385525071.633,162284465073.341,4116.1705596504,36371.0509535576,2989.43,1,0
7,Turkey,Spain,2000,704341.535,763282.688,256385525071.633,634693160025.57,4116.1705596504,15715.3322713275,3401.22,0,1
8,Turkey,Switzerland,2000,237852.188,268291.68,256385525071.633,298520480628.412,4116.1705596504,41786.2341411701,2328.95,1,0
9,Turkey,United Kingdom,2000,2023665.644,1829356.672,256385525071.633,1685762821549.91,4116.1705596504,28726.8572106345,3332.78,0,1
10,Turkey,United States,2000,3074128.036,2437078.272,256385525071.633,9630664202000.0,4116.1705596504,34513.5615037271,10153.51,0,1
11,Turkey,China,2001,199372.814,91336.496,274302959053.103,1211346869600.41,4337.47800296354,959.372483635864,6083.43,0,1
12,Turkey,France,2001,1895290.371,1651591.721,274302959053.103,1362248940482.77,4337.47800296354,22364.0293943406,2803.41,0,1
13,Turkey,Germany,2001,5366679.922,5171172.501,274302959053.103,1943145384190.16,4337.47800296354,23635.9292203977,2332.79,0,1
14,Turkey,Iceland,2001,3208.957,4941.386,274302959053.103,9025660361.75842,4337.47800296354,32096.3722613695,4433.0,1,0
15,Turkey,Italy,2001,2342203.343,1755168.844,274302959053.103,1143829832319.88,4337.47800296354,20087.5919858794,1911.13,0,1
16,Turkey,Netherlands,2001,892416.091,871490.577,274302959053.103,416442786069.652,4337.47800296354,26149.41107829,2690.54,0,1
17,Turkey,Norway,2001,70291.399,80229.968,274302959053.103,171247131268.604,4337.47800296354,38131.4606116242,2989.43,1,0
18,Turkey,Spain,2001,950362.005,704341.535,274302959053.103,596877648793.072,4337.47800296354,14713.0657111519,3401.22,0,1
19,Turkey,Switzerland,2001,242607.789,237852.188,274302959053.103,279841151705.353,4337.47800296354,38952.0342005572,2328.95,1,0
20,Turkey,United Kingdom,2001,2174891.67,2023665.644,274302959053.103,1662127402027.54,4337.47800296354,28223.0675706515,3332.78,0,1
21,Turkey,United States,2001,3125803.605,3074128.036,274302959053.103,10252345464000.0,4337.47800296354,36334.9087770589,10153.51,0,1
22,Turkey,China,2002,265532.59,199372.814,201751148417.102,1339395718862.89,3142.92099774582,1053.10824300262,6083.43,0,1
23,Turkey,France,2002,2123542.748,1895290.371,201751148417.102,1376465324384.79,3142.92099774582,22433.5549829528,2803.41,0,1
24,Turkey,Germany,2002,5835206.833,5366679.922,201751148417.102,1944107382550.34,3142.92099774582,23607.8828553922,2332.79,0,1
25,Turkey,Iceland,2002,2645.519,3208.957,201751148417.102,8234846804.60582,3142.92099774582,28897.4439396908,4433.0,1,0
26,Turkey,Italy,2002,2361212.142,2342203.343,201751148417.102,1167012796420.58,3142.92099774582,20483.2159949974,1911.13,0,1
27,Turkey,Netherlands,2002,1043865.599,892416.091,201751148417.102,431213422818.792,3142.92099774582,26873.2759335114,2690.54,0,1
28,Turkey,Norway,2002,114447.158,70291.399,201751148417.102,173972218824.027,3142.92099774582,38542.715099709,2989.43,1,0
29,Turkey,Spain,2002,1115225.98,950362.005,201751148417.102,627286800894.855,3142.92099774582,15355.7031663439,3401.22,0,1
30,Turkey,Switzerland,2002,288754.866,242607.789,201751148417.102,287226531168.523,3142.92099774582,39727.8466713883,2328.95,1,0
31,Turkey,United Kingdom,2002,3005840.148,2174891.67,201751148417.102,1643908161796.46,3142.92099774582,27806.4488245133,3332.78,0,1
32,Turkey,United States,2002,3336809.681,3125803.605,201751148417.102,10581821399000.0,3142.92099774582,37133.2428088526,10153.51,0,1
33,Turkey,China,2003,504625.797,265532.59,240253216295.117,1470550015077.93,3687.95609325031,1148.50829043887,6083.43,0,1
34,Turkey,France,2003,2826140.554,2123542.748,240253216295.117,1494286655373.61,3687.95609325031,24177.3355586498,2803.41,0,1
